Country,Year,Methane_Co2_Equivalent_in_Kt,MethaneDeviation,GDP,Country Code,IncomeGroup,Region,lat,lon,TotalEmissions,
Solomon Islands,1978,1926.31,7.55,1181,SLB,Lower middle income,East Asia & Pacific,-9.5984,160.14834,71192,0.08
Sierra Leone,1978,2718.45,-3.46,1467,SLE,Low income,Sub-Saharan Africa,8.46502,-11.88553,122570,-0.03
El Salvador,1978,2673.69,4.46,5867,SLV,Lower middle income,Latin America & Caribbean,13.69966,-89.20681,115315,0.04
Somalia,1978,11656.5,7.02,995,SOM,Low income,Sub-Saharan Africa,3.3303,44.8747,567641,0.07
Sao Tome and Principe,1978,20.0942,2.46,2883,STP,Lower middle income,Sub-Saharan Africa,0.21658,6.59542,1300,0.02
Suriname,1978,997.015,16.96,12569,SUR,Upper middle income,Latin America & Caribbean,5.82031,-55.16542,38179,0.17
Slovenia,1978,2599.41,0.91,18347,SVN,High income,Europe & Central Asia,46.05061,14.5028,117538,0.01
Sweden,1978,10330.6,1.03,24784,SWE,High income,Europe & Central Asia,59.33233,18.06293,470129,0.01
Eswatini,1978,1039.46,1.61,4842,SWZ,Lower middle income,Sub-Saharan Africa,-26.32604,31.1411,48181,0.02
Seychelles,1978,12.1412,4.51,9898,SYC,High income,Sub-Saharan Africa,-4.62311,55.45364,732,0.05
Syria,1978,3669.91,7.65,4398,SYR,Low income,Middle East & North Africa,33.4993,36.30132,344200,0.08
Chad,1978,7452.12,-6.57,1217,TCD,Low income,Sub-Saharan Africa,15.5748,18.7182,457336,-0.07
Togo,1978,1990.69,-10.61,1960,TGO,Low income,Sub-Saharan Africa,8.4736,1.00643,130390,-0.11
Thailand,1978,83447.9,2.77,3325,THA,Upper middle income,East Asia & Pacific,13.75336,100.50483,3688811,0.03
Tajikistan,1978,3367,1.73,4809,TJK,Low income,Europe & Central Asia,38.56791,68.77156,159714,0.02
Turkmenistan,1978,17321.4,6.55,10538,TKM,Upper middle income,Europe & Central Asia,37.95055,58.38555,924698,0.07
Timor-Leste,1978,334.324,-7.71,794,TLS,Lower middle income,East Asia & Pacific,-8.89242,125.7582,20213,-0.08
Tonga,1978,59.6051,19.94,2002,TON,Upper middle income,East Asia & Pacific,-21.13369,-175.20361,2348,0.2
Trinidad and Tobago,1978,2205.72,2.42,16047,TTO,High income,Latin America & Caribbean,10.459,-61.2323,230252,0.02
Tunisia,1978,3068.09,-4.3,4434,TUN,Lower middle income,Middle East & North Africa,36.80002,10.1827,210882,-0.04
Turkey,1978,37836.2,2.45,8400,TUR,Upper middle income,Europe & Central Asia,39.94292,32.86049,2134964,0.02
Tanzania,1978,21593.8,4.71,1579,TZA,Low income,Sub-Saharan Africa,-6.17349,35.74653,1056588,0.05
Uganda,1978,9851.01,-1.09,884,UGA,Low income,Sub-Saharan Africa,0.32537,32.58701,556449,-0.01
Ukraine,1978,91856.2,3.29,9454,UKR,Lower middle income,Europe & Central Asia,50.45058,30.52428,3869662,0.03
Uruguay,1978,16197.1,0.74,9012,URY,High income,Latin America & Caribbean,-34.87417,-56.16293,763890,0.01
United States,1978,581486,-0.43,29281,USA,High income,North America,38.89037,-100,25000568,0
Uzbekistan,1978,23358.3,4.17,3577,UZB,Lower middle income,Europe & Central Asia,41.32051,69.30666,1389366,0.04
"Venezuela, RB",1978,32770.8,3.32,19488,VEN,Upper middle income,Latin America & Caribbean,7.1784,-65.2638,1958077,0.03
Vietnam,1978,58103.3,-0.72,1165,VNM,Lower middle income,East Asia & Pacific,21.0289,105.85465,3060610,-0.01
Vanuatu,1978,167.98,-3.15,2283,VUT,Lower middle income,East Asia & Pacific,-17.73418,168.32094,9186,-0.03
Samoa,1978,76.0098,2.57,3686,WSM,Upper middle income,East Asia & Pacific,-13.624,-172.4482,4470,0.03
Yemen,1978,2404.6,1.04,3440,YEM,Low income,Middle East & North Africa,15.35318,44.21954,199326,0.01
South Africa,1978,38728,2.3,10952,ZAF,Upper middle income,Sub-Saharan Africa,-25.74587,28.18763,2208620,0.02
Zambia,1978,21838,7.09,3232,ZMB,Lower middle income,Sub-Saharan Africa,-15.42555,28.27877,827070,0.07
Zimbabwe,1978,8133.56,-5.12,2209,ZWE,Low income,Sub-Saharan Africa,-17.82438,31.05,368583,-0.05
Aruba,1979,12.4857,2.06,13194,ABW,High income,Latin America & Caribbean,12.52368,-70.03487,515,0.02
Afghanistan,1979,10176.2,-1.96,1155,AFG,Low income,South Asia,34.53156,69.12535,418090,-0.02
Angola,1979,22903.7,25.3,4458,AGO,Lower middle income,Sub-Saharan Africa,-12.3329,16.8309,768497,0.25
Albania,1979,2182,3.25,4201,ALB,Upper middle income,Europe & Central Asia,41.32233,19.82516,100147,0.03
United Arab Emirates,1979,19337,-31.07,159226,ARE,High income,Middle East & North Africa,23.4997,54.1571,824537,-0.31
Argentina,1979,96622.1,-0.36,10976,ARG,High income,Latin America & Caribbean,-34.60851,-58.37349,4137984,0
Armenia,1979,1562.06,-0.86,3877,ARM,Upper middle income,Europe & Central Asia,40.17334,44.51461,97866,-0.01
Antigua and Barbuda,1979,31.4964,13.43,7536,ATG,High income,Latin America & Caribbean,17.0852,-61.8118,1516,0.13
Australia,1979,106411,6.61,23697,AUS,High income,East Asia & Pacific,-35.30655,149.12656,4907976,0.07
Austria,1979,9606.65,2.06,24684,AUT,High income,Europe & Central Asia,48.20255,16.3688,399006,0.02
Azerbaijan,1979,8611.2,2.75,8315,AZE,Upper middle income,Europe & Central Asia,40.4299,47.4369,459643,0.03
Burundi,1979,1676.56,2.33,856,BDI,Low income,Sub-Saharan Africa,-3.36014,29.36907,79489,0.02
Belgium,1979,13809.5,0.38,24756,BEL,High income,Europe & Central Asia,50.84839,4.34969,520579,0
Benin,1979,3645.15,8.99,1255,BEN,Low income,Sub-Saharan Africa,6.48771,2.61353,193598,0.09
Burkina Faso,1979,4850.84,5.24,766,BFA,Low income,Sub-Saharan Africa,11.58778,-2.47413,345405,0.05
Bangladesh,1979,92273.5,1.16,1101,BGD,Lower middle income,South Asia,23.71321,90.39957,3878389,0.01
Bulgaria,1979,13107.4,3.07,10425,BGR,Upper middle income,Europe & Central Asia,42.69717,23.32435,569442,0.03
Bahrain,1979,1313.81,6.38,40292,BHR,High income,Middle East & North Africa,26.22954,50.576,83450,0.06
"Bahamas, The",1979,108.112,0.81,21812,BHS,High income,Latin America & Caribbean,24.6591,-78.006,6464,0.01
Bosnia and Herzegovina,1979,3470.73,2.17,3480,BIH,Upper middle income,Europe & Central Asia,43.85944,18.43576,139892,0.02
Belarus,1979,15383,1.37,6752,BLR,Upper middle income,Europe & Central Asia,53.90255,27.5631,657045,0.01
Belize,1979,145.317,7.64,3701,BLZ,Upper middle income,Latin America & Caribbean,17.25414,-88.77046,6931,0.08
Bolivia,1979,19993.7,6.08,4496,BOL,Lower middle income,Latin America & Caribbean,-16.4989,-68.13313,906897,0.06
Brazil,1979,254110,3.84,10187,BRA,Upper middle income,Latin America & Caribbean,-15.77843,-47.92866,14049996,0.04
Barbados,1979,100.32,2.01,12364,BRB,High income,Latin America & Caribbean,13.11202,-59.61269,4667,0.02
Brunei,1979,3857.07,-5.59,134864,BRN,High income,East Asia & Pacific,4.8919,114.94044,163011,-0.06
Bhutan,1979,809.099,1.95,1108,BTN,Lower middle income,South Asia,27.4682,89.66189,43578,0.02
Botswana,1979,6114.78,19.43,3920,BWA,Upper middle income,Sub-Saharan Africa,-24.65527,25.91907,198601,0.19
Central African Republic,1979,27484.7,16.97,1145,CAF,Low income,Sub-Saharan Africa,6.61404,20.65731,1720740,0.17
Canada,1979,73100.3,16.9,26665,CAN,High income,North America,45.42179,-75.69119,3779435,0.17
Switzerland,1979,5397.46,0.81,39109,CHE,High income,Europe & Central Asia,46.94843,7.44046,227834,0.01
Chile,1979,12713.4,1.54,7603,CHL,High income,Latin America & Caribbean,-33.43724,-70.65002,614035,0.02
China,1979,874356,-0.33,1059,CHN,Upper middle income,East Asia & Pacific,39.90469,116.40708,45917251,0
Cameroon,1979,9063.01,9.38,2505,CMR,Lower middle income,Sub-Saharan Africa,3.86796,11.51695,568560,0.09
Colombia,1979,45127.8,0.51,6200,COL,Upper middle income,Latin America & Caribbean,4.61495,-74.06938,2178243,0.01
Comoros,1979,170.022,2.64,1583,COM,Low income,Sub-Saharan Africa,-11.69219,43.25921,8571,0.03
Cabo Verde,1979,51.5931,3.76,886,CPV,Lower middle income,Sub-Saharan Africa,17.0545,-25.17401,3792,0.04
Costa Rica,1979,3567.13,4.35,7607,CRI,Upper middle income,Latin America & Caribbean,9.92976,-84.08569,134421,0.04
Cuba,1979,12240.3,1.24,12519,CUB,Upper middle income,Latin America & Caribbean,22.0677,-79.4995,474018,0.01
Cyprus,1979,302.542,1.43,13897,CYP,High income,Europe & Central Asia,34.8997,32.9066,19955,0.01
Czech Republic,1979,20289.3,3.88,18171,CZE,High income,Europe & Central Asia,50.07908,14.43323,682287,0.04
Germany,1979,127933,2.43,27515,DEU,High income,Europe & Central Asia,52.51607,13.37699,4257031,0.02
Djibouti,1979,239.784,2.92,3555,DJI,Lower middle income,Middle East & North Africa,11.58766,43.1448,17548,0.03
Dominica,1979,25.0285,4.64,3299,DMA,Upper middle income,Latin America & Caribbean,15.30201,-61.38607,1387,0.05
Denmark,1979,8395.68,0.8,27020,DNK,High income,Europe & Central Asia,56.3716,9.1073,345797,0.01
Dominican Republic,1979,5354.87,4.62,4807,DOM,Upper middle income,Latin America & Caribbean,19.0691,-70.886,257328,0.05
Algeria,1979,27825.7,0.05,10293,DZA,Upper middle income,Middle East & North Africa,28.0236,2.3609,1489812,0
Ecuador,1979,7535.49,6.85,8023,ECU,Upper middle income,Latin America & Caribbean,-0.20567,-78.50875,481911,0.07
Egypt,1979,21161.2,-1.08,4262,EGY,Lower middle income,Middle East & North Africa,30.04998,31.24861,1350671,-0.01
Eritrea,1979,1816.07,1.12,940,ERI,Low income,Sub-Saharan Africa,15.33637,38.93661,94128,0.01
Spain,1979,26106.5,-0.9,17825,ESP,High income,Europe & Central Asia,40.42028,-3.70578,1361674,-0.01
Estonia,1979,2635.75,0.78,11690,EST,High income,Europe & Central Asia,58.7038,25.7374,106626,0.01
Ethiopia,1979,32663.9,2.8,713,ETH,Low income,Sub-Saharan Africa,9.01176,38.75919,1827482,0.03
Finland,1979,9846.2,2.04,20918,FIN,High income,Europe & Central Asia,63.0041,26.0223,418548,0.02
Fiji,1979,506.212,8.44,6066,FJI,Upper middle income,East Asia & Pacific,-17.8464,177.9148,26244,0.08
France,1979,90031,1.08,23647,FRA,High income,Europe & Central Asia,48.85693,2.3412,3541985,0.01
Gabon,1979,2980.14,7.98,24502,GAB,Upper middle income,Sub-Saharan Africa,-0.9496,11.2691,140426,0.08
United Kingdom,1979,125000,3.08,20871,GBR,High income,Europe & Central Asia,51.50643,-0.12721,4334694,0.03
Georgia,1979,4014.53,-0.27,8485,GEO,Lower middle income,Europe & Central Asia,41.69792,44.79859,183747,0
Ghana,1979,5795.62,4.45,2130,GHA,Lower middle income,Sub-Saharan Africa,7.6848,-1.2504,393569,0.04
Guinea,1979,6848.76,5.28,1149,GIN,Low income,Sub-Saharan Africa,9.51201,-13.70529,498429,0.05
Gambia,1979,500.179,-2.07,2028,GMB,Low income,Sub-Saharan Africa,13.52,-15.3748,28022,-0.02
Guinea-Bissau,1979,698.646,3.27,1827,GNB,Low income,Sub-Saharan Africa,11.80284,-14.60059,38862,0.03
Equatorial Guinea,1979,87.8892,2.26,1407,GNQ,Upper middle income,Sub-Saharan Africa,1.63472,10.46976,42323,0.02
Greece,1979,6831.56,0.34,18184,GRC,High income,Europe & Central Asia,37.97615,23.73642,321286,0
Grenada,1979,26.6836,-1.07,4964,GRD,Upper middle income,Latin America & Caribbean,12.111,-61.6894,1218,-0.01
Greenland,1979,19.3656,2.57,16124,GRL,High income,Europe & Central Asia,76.9917,-42.3069,788,0.03
Guatemala,1979,4009.22,7.65,6373,GTM,Upper middle income,Latin America & Caribbean,14.63173,-90.46745,255750,0.08
Guyana,1979,1616.63,-15.07,4206,GUY,Upper middle income,Latin America & Caribbean,5.5936,-59.1166,82875,-0.15
Honduras,1979,3431.3,8.53,3738,HND,Lower middle income,Latin America & Caribbean,14.08191,-87.2054,173026,0.09
Croatia,1979,3569.69,-0.61,18232,HRV,High income,Europe & Central Asia,45.80722,15.96757,169512,-0.01
Haiti,1979,3446.05,2.25,2666,HTI,Low income,Latin America & Caribbean,18.54363,-72.33971,160218,0.02
Hungary,1979,11900.6,1.21,16209,HUN,High income,Europe & Central Asia,47.50623,19.06483,411305,0.01
Indonesia,1979,184092,20.56,3111,IDN,Lower middle income,East Asia & Pacific,-6.17149,106.82753,10519804,0.21
India,1979,435572,0.54,1211,IND,Lower middle income,South Asia,18,77.21725,22110672,0.01
Ireland,1979,12026.8,2.16,15734,IRL,High income,Europe & Central Asia,53.1437,-7.7786,574419,0.02
Iran,1979,48390.5,-25.49,12312,IRN,Upper middle income,Middle East & North Africa,35.68878,51.41503,3015914,-0.25
Iraq,1979,32077.9,20.53,16718,IRQ,Upper middle income,Middle East & North Africa,33.34209,44.39309,888427,0.21
Iceland,1979,358.825,-0.33,23523,ISL,High income,Europe & Central Asia,64.8226,-18.487,14771,0
Israel,1979,1412.04,1.9,14159,ISR,High income,Middle East & North Africa,31.70425,35.2063,96404,0.02
Italy,1979,43732.1,1.33,22146,ITA,High income,Europe & Central Asia,41.90305,12.49581,1849961,0.01
Jamaica,1979,854.172,-0.56,6688,JAM,Upper middle income,Latin America & Caribbean,18.1938,-77.4411,49088,-0.01
Jordan,1979,503.032,8.48,7313,JOR,Upper middle income,Middle East & North Africa,31.95181,35.94042,46314,0.08
Japan,1979,79393.5,-1.21,19346,JPN,High income,East Asia & Pacific,36.1419,138.3339,2751790,-0.01
Kazakhstan,1979,67218.2,-4.68,13115,KAZ,Upper middle income,Europe & Central Asia,51.12892,71.41369,2593672,-0.05
Kenya,1979,15529.1,7.78,2212,KEN,Lower middle income,Sub-Saharan Africa,-1.28352,36.8238,852195,0.08
Cambodia,1979,7913.82,-18.1,891,KHM,Lower middle income,East Asia & Pacific,11.55227,104.87691,738203,-0.18
Kiribati,1979,7.53406,3.85,3275,KIR,Lower middle income,East Asia & Pacific,-0.85424,169.5309,452,0.04
South Korea,1979,29054.8,0.75,5505,KOR,High income,East Asia & Pacific,39.01196,125.78686,1309908,0.01
Kuwait,1979,13240.4,7.23,109863,KWT,High income,Middle East & North Africa,29.37322,47.97143,471490,0.07
Lebanon,1979,597.76,-0.64,8585,LBN,Upper middle income,Middle East & North Africa,34.1736,36.0225,33648,-0.01
Liberia,1979,662.381,5.29,1408,LBR,Low income,Sub-Saharan Africa,6.3521,-9.3257,40604,0.05
Libya,1979,18479.3,5.19,61213,LBY,Upper middle income,Middle East & North Africa,27.0041,17.7308,687184,0.05
Sri Lanka,1979,11591.6,-3.25,2424,LKA,Lower middle income,South Asia,6.81157,80.6104,471616,-0.03
Lesotho,1979,1048.22,5.78,1162,LSO,Lower middle income,Sub-Saharan Africa,-29.31618,27.49303,49846,0.06
Lithuania,1979,5705.62,1.85,15843,LTU,High income,Europe & Central Asia,54.69063,25.26984,239158,0.02
Luxembourg,1979,880.727,2.25,35697,LUX,High income,Europe & Central Asia,49.6096,6.12969,42809,0.02
Latvia,1979,4012.48,0.9,10481,LVA,High income,Europe & Central Asia,56.94599,24.11487,161763,0.01
Morocco,1979,8541.72,-0.69,3176,MAR,Lower middle income,Middle East & North Africa,32.5289,-6.0403,396546,-0.01
Moldova,1979,2499.39,0.28,6044,MDA,Lower middle income,Europe & Central Asia,47.02462,28.83244,134918,0
Madagascar,1979,16355.4,7.1,2218,MDG,Low income,Sub-Saharan Africa,-18.90428,47.52354,707189,0.07
Maldives,1979,17.6846,3.26,1706,MDV,Upper middle income,South Asia,4.17525,73.50928,1219,0.03
Mexico,1979,81985.9,4.85,11912,MEX,Upper middle income,Latin America & Caribbean,19.43196,-99.13313,4101730,0.05
Marshall Islands,1979,3.00853,2.44,2380,MHL,Upper middle income,East Asia & Pacific,7.0862,171.84685,211,0.02
Mali,1979,8274.42,12.56,1227,MLI,Low income,Sub-Saharan Africa,12.65032,-8.00004,457743,0.13
Malta,1979,125.773,2.13,10563,MLT,High income,Middle East & North Africa,35.89353,14.51179,7623,0.02
Mongolia,1979,7608.97,-2.62,2211,MNG,Lower middle income,East Asia & Pacific,47.9221,106.91772,324010,-0.03
Mozambique,1979,12314.5,30.61,496,MOZ,Low income,Sub-Saharan Africa,-25.97446,32.57323,425605,0.31
Mauritania,1979,2823.3,2.57,2879,MRT,Lower middle income,Sub-Saharan Africa,18.09194,-15.97248,167771,0.03
Mauritius,1979,174.301,2.9,5153,MUS,Upper middle income,Sub-Saharan Africa,-20.16389,57.4985,9466,0.03
Malawi,1979,3542.32,16.92,714,MWI,Low income,Sub-Saharan Africa,-13.91437,33.78427,154375,0.17
Malaysia,1979,17021.3,2.61,6785,MYS,Upper middle income,East Asia & Pacific,3.14777,101.69403,1055241,0.03
Namibia,1979,3942,11.7,6703,NAM,Upper middle income,Sub-Saharan Africa,-22.57159,17.09075,164149,0.12
Niger,1979,5072.57,2.39,1320,NER,Low income,Sub-Saharan Africa,13.51633,2.11627,224284,0.02
Nigeria,1979,65732.2,27.88,4192,NGA,Lower middle income,Sub-Saharan Africa,9.0631,7.46179,2945375,0.28
Nicaragua,1979,4470.84,-4.34,4575,NIC,Lower middle income,Latin America & Caribbean,12.11721,-86.24079,210009,-0.04
Netherlands,1979,27439.4,2.44,25473,NLD,High income,Europe & Central Asia,52.3731,4.89329,1102817,0.02
Norway,1979,9454.04,8.45,32737,NOR,High income,Europe & Central Asia,59.9123,10.75,577329,0.08
Nepal,1979,19027.6,-0.16,1045,NPL,Low income,South Asia,27.69335,85.32233,878500,0
New Zealand,1979,25657.2,-0.67,21144,NZL,High income,East Asia & Pacific,-41.28948,174.77696,1152237,-0.01
Oman,1979,11483.1,-10.8,21258,OMN,High income,Middle East & North Africa,22.0906,57.0988,411797,-0.11
Pakistan,1979,70222.7,2.06,2018,PAK,Lower middle income,South Asia,33.70768,73.07048,4247209,0.02
Panama,1979,2714.35,1.92,7529,PAN,High income,Latin America & Caribbean,8.4118,-81.1375,123546,0.02
Peru,1979,13549.5,2.38,7298,PER,Upper middle income,Latin America & Caribbean,-7.4554,-76.4849,634521,0.02
Philippines,1979,43939.9,0.72,4154,PHL,Lower middle income,East Asia & Pacific,17.0167,121.1449,2006627,0.01
Papua New Guinea,1979,1940.71,45.6,1908,PNG,Lower middle income,East Asia & Pacific,-6.65409,144.3563,112203,0.46
Poland,1979,129653,2.36,11703,POL,High income,Europe & Central Asia,52.22875,21.00625,4187582,0.02
Puerto Rico,1979,1419.01,-1.4,19579,PRI,High income,Latin America & Caribbean,18.2682,-66.5557,59045,-0.01
North Korea,1979,20167.2,2.07,2015,PRK,Low income,East Asia & Pacific,39.9949,126.4826,814278,0.02
Portugal,1979,7703.39,1.97,14430,PRT,High income,Europe & Central Asia,40.6867,-7.8904,429349,0.02
Paraguay,1979,11885.6,1.29,5449,PRY,Upper middle income,Latin America & Caribbean,-25.29738,-57.62775,601516,0.01
Qatar,1979,5128.53,-9.17,148451,QAT,High income,Middle East & North Africa,25.1724,51.1925,480764,-0.09
Romania,1979,39592.9,1.15,13769,ROU,Upper middle income,Europe & Central Asia,44.4343,26.10296,1412814,0.01
Russia,1979,446764,2.9,17632,RUS,Upper middle income,Europe & Central Asia,55.75697,50,21065036,0.03
Rwanda,1979,1387.75,-3.09,846,RWA,Low income,Sub-Saharan Africa,-1.94509,30.06404,79026,-0.03
Saudi Arabia,1979,68065.9,7.57,69720,SAU,High income,Middle East & North Africa,24.6473,46.71468,2056345,0.08
Sudan,1979,37261.3,8.73,2488,SDN,Lower middle income,Sub-Saharan Africa,15.60867,32.53578,2386128,0.09
Senegal,1979,4646.17,0.18,1946,SEN,Low income,Sub-Saharan Africa,15.0421,-15.0882,262359,0
Singapore,1979,814.132,1,19252,SGP,High income,East Asia & Pacific,1.29017,103.852,58858,0.01
Solomon Islands,1979,1883.33,-2.23,1424,SLB,Lower middle income,East Asia & Pacific,-9.5984,160.14834,71192,-0.02
Sierra Leone,1979,2706.3,-0.45,1513,SLE,Low income,Sub-Saharan Africa,8.46502,-11.88553,122570,0
El Salvador,1979,2751.86,2.92,5618,SLV,Lower middle income,Latin America & Caribbean,13.69966,-89.20681,115315,0.03
Somalia,1979,11655.3,-0.01,869,SOM,Low income,Sub-Saharan Africa,3.3303,44.8747,567641,0
Sao Tome and Principe,1979,20.4102,1.57,3266,STP,Lower middle income,Sub-Saharan Africa,0.21658,6.59542,1300,0.02
Suriname,1979,1061.3,6.45,11872,SUR,Upper middle income,Latin America & Caribbean,5.82031,-55.16542,38179,0.06
Slovenia,1979,2624.48,0.96,19444,SVN,High income,Europe & Central Asia,46.05061,14.5028,117538,0.01
Sweden,1979,10544.7,2.07,25827,SWE,High income,Europe & Central Asia,59.33233,18.06293,470129,0.02
Eswatini,1979,1063.66,2.33,4766,SWZ,Lower middle income,Sub-Saharan Africa,-26.32604,31.1411,48181,0.02
Seychelles,1979,12.8227,5.61,11366,SYC,High income,Sub-Saharan Africa,-4.62311,55.45364,732,0.06
Syria,1979,3635.01,-0.95,4411,SYR,Low income,Middle East & North Africa,33.4993,36.30132,344200,-0.01
Chad,1979,7998.19,7.33,946,TCD,Low income,Sub-Saharan Africa,15.5748,18.7182,457336,0.07
Togo,1979,2128.68,6.93,2026,TGO,Low income,Sub-Saharan Africa,8.4736,1.00643,130390,0.07
Thailand,1979,80696.7,-3.3,3427,THA,Upper middle income,East Asia & Pacific,13.75336,100.50483,3688811,-0.03
Tajikistan,1979,3396.79,0.88,4617,TJK,Low income,Europe & Central Asia,38.56791,68.77156,159714,0.01
Turkmenistan,1979,18153.3,4.8,10158,TKM,Upper middle income,Europe & Central Asia,37.95055,58.38555,924698,0.05
Timor-Leste,1979,290.291,-13.17,813,TLS,Lower middle income,East Asia & Pacific,-8.89242,125.7582,20213,-0.13
Tonga,1979,60.2291,1.05,2016,TON,Upper middle income,East Asia & Pacific,-21.13369,-175.20361,2348,0.01
Trinidad and Tobago,1979,2202.93,-0.13,16549,TTO,High income,Latin America & Caribbean,10.459,-61.2323,230252,0
Tunisia,1979,2873.72,-6.34,4618,TUN,Lower middle income,Middle East & North Africa,36.80002,10.1827,210882,-0.06
Turkey,1979,38679.1,2.23,8160,TUR,Upper middle income,Europe & Central Asia,39.94292,32.86049,2134964,0.02
Tanzania,1979,26185.8,21.27,1559,TZA,Low income,Sub-Saharan Africa,-6.17349,35.74653,1056588,0.21
Uganda,1979,10244.3,3.99,770,UGA,Low income,Sub-Saharan Africa,0.32537,32.58701,556449,0.04
Ukraine,1979,93879.6,2.2,9372,UKR,Lower middle income,Europe & Central Asia,50.45058,30.52428,3869662,0.02
Uruguay,1979,16930.7,4.53,9513,URY,High income,Latin America & Caribbean,-34.87417,-56.16293,763890,0.05
United States,1979,600123,3.21,29951,USA,High income,North America,38.89037,-100,25000568,0.03
Uzbekistan,1979,23447.1,0.38,3468,UZB,Lower middle income,Europe & Central Asia,41.32051,69.30666,1389366,0
"Venezuela, RB",1979,34795.2,6.18,19140,VEN,Upper middle income,Latin America & Caribbean,7.1784,-65.2638,1958077,0.06
Vietnam,1979,57804.2,-0.51,1151,VNM,Lower middle income,East Asia & Pacific,21.0289,105.85465,3060610,-0.01
Vanuatu,1979,163.689,-2.55,2306,VUT,Lower middle income,East Asia & Pacific,-17.73418,168.32094,9186,-0.03
Samoa,1979,78.2411,2.94,4149,WSM,Upper middle income,East Asia & Pacific,-13.624,-172.4482,4470,0.03
Yemen,1979,2427.44,0.95,3533,YEM,Low income,Middle East & North Africa,15.35318,44.21954,199326,0.01
South Africa,1979,41239.3,6.48,11132,ZAF,Upper middle income,Sub-Saharan Africa,-25.74587,28.18763,2208620,0.06
Zambia,1979,31530.3,44.38,2993,ZMB,Lower middle income,Sub-Saharan Africa,-15.42555,28.27877,827070,0.44
Zimbabwe,1979,8330.49,2.42,2217,ZWE,Low income,Sub-Saharan Africa,-17.82438,31.05,368583,0.02
Aruba,1980,12.6755,1.52,14273,ABW,High income,Latin America & Caribbean,12.52368,-70.03487,515,0.02
Afghanistan,1980,10376.6,1.97,1158,AFG,Low income,South Asia,34.53156,69.12535,418090,0.02
Angola,1980,19634.2,-14.28,4443,AGO,Lower middle income,Sub-Saharan Africa,-12.3329,16.8309,768497,-0.14
Albania,1980,2228.41,2.13,4218,ALB,Upper middle income,Europe & Central Asia,41.32233,19.82516,100147,0.02
United Arab Emirates,1980,18727.5,-3.15,182668,ARE,High income,Middle East & North Africa,23.4997,54.1571,824537,-0.03
Argentina,1980,95741.2,-0.91,10982,ARG,High income,Latin America & Caribbean,-34.60851,-58.37349,4137984,-0.01
Armenia,1980,1542.94,-1.22,3815,ARM,Upper middle income,Europe & Central Asia,40.17334,44.51461,97866,-0.01
Antigua and Barbuda,1980,34.4073,9.24,8169,ATG,High income,Latin America & Caribbean,17.0852,-61.8118,1516,0.09
Australia,1980,109630,3.03,23872,AUS,High income,East Asia & Pacific,-35.30655,149.12656,4907976,0.03
Austria,1980,9714.19,1.12,25259,AUT,High income,Europe & Central Asia,48.20255,16.3688,399006,0.01
Azerbaijan,1980,8835.25,2.6,8228,AZE,Upper middle income,Europe & Central Asia,40.4299,47.4369,459643,0.03
Burundi,1980,1554.06,-7.31,887,BDI,Low income,Sub-Saharan Africa,-3.36014,29.36907,79489,-0.07
Belgium,1980,13818.4,0.06,25847,BEL,High income,Europe & Central Asia,50.84839,4.34969,520579,0
Benin,1980,4533.24,24.36,1338,BEN,Low income,Sub-Saharan Africa,6.48771,2.61353,193598,0.24
Burkina Faso,1980,5223.71,7.69,759,BFA,Low income,Sub-Saharan Africa,11.58778,-2.47413,345405,0.08
Bangladesh,1980,87058.4,-5.65,1079,BGD,Lower middle income,South Asia,23.71321,90.39957,3878389,-0.06
Bulgaria,1980,13535.1,3.26,10088,BGR,Upper middle income,Europe & Central Asia,42.69717,23.32435,569442,0.03
Bahrain,1980,1324.4,0.81,44996,BHR,High income,Middle East & North Africa,26.22954,50.576,83450,0.01
"Bahamas, The",1980,112.649,4.2,22747,BHS,High income,Latin America & Caribbean,24.6591,-78.006,6464,0.04
Bosnia and Herzegovina,1980,3660.59,5.47,3582,BIH,Upper middle income,Europe & Central Asia,43.85944,18.43576,139892,0.05
Belarus,1980,15567.1,1.2,6776,BLR,Upper middle income,Europe & Central Asia,53.90255,27.5631,657045,0.01
Belize,1980,142.073,-2.23,4148,BLZ,Upper middle income,Latin America & Caribbean,17.25414,-88.77046,6931,-0.02
Bolivia,1980,21233.3,6.2,4363,BOL,Lower middle income,Latin America & Caribbean,-16.4989,-68.13313,906897,0.06
Brazil,1980,275469,8.41,10922,BRA,Upper middle income,Latin America & Caribbean,-15.77843,-47.92866,14049996,0.08
Barbados,1980,105.248,4.91,12885,BRB,High income,Latin America & Caribbean,13.11202,-59.61269,4667,0.05
Brunei,1980,4467.29,15.82,121356,BRN,High income,East Asia & Pacific,4.8919,114.94044,163011,0.16
Bhutan,1980,824.635,1.92,1131,BTN,Lower middle income,South Asia,27.4682,89.66189,43578,0.02
Botswana,1980,5327.21,-12.88,4292,BWA,Upper middle income,Sub-Saharan Africa,-24.65527,25.91907,198601,-0.13
Central African Republic,1980,38591.8,40.41,1103,CAF,Low income,Sub-Saharan Africa,6.61404,20.65731,1720740,0.4
Canada,1980,78956.3,8.01,26678,CAN,High income,North America,45.42179,-75.69119,3779435,0.08
Switzerland,1980,5483.61,1.6,40692,CHE,High income,Europe & Central Asia,46.94843,7.44046,227834,0.02
